state,year,energy_btu
AK,1960,59303.0
AL,1960,842283.0
AR,1960,417153.0
AZ,1960,273431.0
CA,1960,3360697.0
CO,1960,417013.0
CT,1960,496298.0
DC,1960,115737.0
DE,1960,153726.0
FL,1960,783376.0
GA,1960,681860.0
HI,1960,94640.0
IA,1960,589195.0
ID,1960,181977.0
IL,1960,2470864.0
IN,1960,1503173.0
KS,1960,620381.0
KY,1960,779353.0
LA,1960,1486803.0
MA,1960,1033978.0
MD,1960,683608.0
ME,1960,221342.0
MI,1960,1807087.0
MN,1960,708144.0
MO,1960,882051.0
MS,1960,396572.0
MT,1960,220333.0
NC,1960,799267.0
ND,1960,157619.0
NE,1960,301500.0
NH,1960,107928.0
NJ,1960,1274609.0
NM,1960,323169.0
NV,1960,87617.0
NY,1960,2914062.0
OH,1960,2904700.0
OK,1960,570253.0
OR,1960,448836.0
PA,1960,3191998.0
RI,1960,184099.0
SC,1960,470644.0
SD,1960,126329.0
TN,1960,901868.0
TX,1960,4360558.0
US,1960,43935276.0
UT,1960,297816.0
VA,1960,832709.0
VT,1960,66721.0
WA,1960,765416.0
WI,1960,832218.0
WV,1960,600357.0
WY,1960,140236.0
AK,1961,70020.0
AL,1961,806682.0
AR,1961,423192.0
AZ,1961,294660.0
CA,1961,3513822.0
CO,1961,453816.0
CT,1961,505953.0
DC,1961,113840.0
DE,1961,147678.0
FL,1961,820633.0
GA,1961,686173.0
HI,1961,113578.0
IA,1961,586832.0
ID,1961,193392.0
IL,1961,2504146.0
IN,1961,1522771.0
KS,1961,606876.0
KY,1961,775993.0
LA,1961,1548642.0
MA,1961,1058961.0
MD,1961,685585.0
ME,1961,234232.0
MI,1961,1832569.0
MN,1961,712762.0
MO,1961,880518.0
MS,1961,402528.0
MT,1961,234519.0
NC,1961,830969.0
ND,1961,152928.0
NE,1961,308179.0
NH,1961,115890.0
NJ,1961,1332548.0
NM,1961,334528.0
NV,1961,100725.0
NY,1961,3016727.0
OH,1961,2809331.0
OK,1961,571668.0
OR,1961,462845.0
PA,1961,3083666.0
RI,1961,169743.0
SC,1961,486981.0
SD,1961,128938.0
TN,1961,918819.0
TX,1961,4390700.0
US,1961,44557699.0
UT,1961,295102.0
VA,1961,834806.0
VT,1961,70058.0
WA,1961,781340.0
WI,1961,854807.0
WV,1961,630635.0
WY,1961,153279.0
AK,1962,76642.0
AL,1962,853424.0
AR,1962,446994.0
AZ,1962,313581.0
CA,1962,3623382.0
CO,1962,459822.0
CT,1962,523254.0
DC,1962,115913.0
DE,1962,158977.0
FL,1962,917001.0
GA,1962,742616.0
HI,1962,108141.0
IA,1962,612223.0
ID,1962,201192.0
IL,1962,2595952.0
IN,1962,1549590.0
KS,1962,626981.0
KY,1962,793930.0
LA,1962,1560868.0
MA,1962,1089545.0
MD,1962,732721.0
ME,1962,227233.0
MI,1962,1936398.0
MN,1962,749533.0
MO,1962,919709.0
MS,1962,427940.0
MT,1962,240602.0
NC,1962,871813.0
ND,1962,162869.0
NE,1962,319984.0
NH,1962,123905.0
NJ,1962,1428980.0
NM,1962,369973.0
NV,1962,108573.0
NY,1962,3150784.0
OH,1962,2941625.0
OK,1962,679452.0
OR,1962,485305.0
PA,1962,3188394.0
RI,1962,177427.0
SC,1962,518785.0
SD,1962,133739.0
TN,1962,952585.0
TX,1962,4574179.0
US,1962,46543126.0
UT,1962,304207.0
VA,1962,861694.0
VT,1962,72746.0
WA,1962,815155.0
WI,1962,894005.0
WV,1962,636728.0
WY,1962,171561.0
AK,1963,78488.0
AL,1963,885811.0
AR,1963,474761.0
AZ,1963,337213.0
CA,1963,3825677.0
CO,1963,457373.0
CT,1963,532247.0
DC,1963,116637.0
DE,1963,169737.0
FL,1963,962029.0
GA,1963,781362.0
HI,1963,114103.0
IA,1963,630303.0
ID,1963,203722.0
IL,1963,2660868.0
IN,1963,1604646.0
KS,1963,628491.0
KY,1963,848634.0
LA,1963,1728650.0
MA,1963,1061964.0
MD,1963,759786.0
ME,1963,230263.0
MI,1963,2024571.0
MN,1963,759016.0
MO,1963,934347.0
MS,1963,462800.0
MT,1963,245316.0
NC,1963,899883.0
ND,1963,168646.0
NE,1963,327610.0
NH,1963,129305.0
NJ,1963,1470211.0
NM,1963,364506.0
NV,1963,118670.0
NY,1963,3221952.0
OH,1963,3023875.0
OK,1963,755827.0
OR,1963,504524.0
PA,1963,3326333.0
RI,1963,177326.0
SC,1963,540390.0
SD,1963,137535.0
TN,1963,1002040.0
TX,1963,4826435.0
US,1963,48409682.0
UT,1963,305867.0
VA,1963,917827.0
VT,1963,72658.0
WA,1963,856629.0
WI,1963,917225.0
WV,1963,671815.0
WY,1963,161170.0
AK,1964,82793.0
AL,1964,949411.0
AR,1964,515874.0
AZ,1964,357961.0
CA,1964,4112125.0
CO,1964,488833.0
CT,1964,549692.0
DC,1964,127494.0
DE,1964,169803.0
FL,1964,1013935.0
GA,1964,833715.0
HI,1964,122620.0
IA,1964,654469.0
ID,1964,220220.0
IL,1964,2786619.0
IN,1964,1682470.0
KS,1964,643831.0
KY,1964,851579.0
LA,1964,1846112.0
MA,1964,1097307.0
MD,1964,806747.0
ME,1964,232154.0
MI,1964,2088875.0
MN,1964,798302.0
MO,1964,968096.0
MS,1964,501790.0
MT,1964,256075.0
NC,1964,933233.0
ND,1964,169931.0
NE,1964,339293.0
NH,1964,128888.0
NJ,1964,1505162.0
NM,1964,359398.0
NV,1964,128628.0
NY,1964,3294366.0
OH,1964,3123375.0
OK,1964,789094.0
OR,1964,553155.0
PA,1964,3519260.0
RI,1964,174692.0
SC,1964,538601.0
SD,1964,140792.0
TN,1964,1027256.0
TX,1964,4940057.0
US,1964,50494169.0
UT,1964,328529.0
VA,1964,945535.0
VT,1964,70042.0
WA,1964,914648.0
WI,1964,950639.0
WV,1964,709893.0
WY,1964,161238.0
AK,1965,85319.0
AL,1965,1011125.0
AR,1965,515759.0
AZ,1965,362858.0
CA,1965,4267121.0
CO,1965,498729.0
CT,1965,554317.0
DC,1965,153758.0
DE,1965,180486.0
FL,1965,1071226.0
GA,1965,890335.0
HI,1965,129824.0
IA,1965,680139.0
ID,1965,224114.0
IL,1965,2957154.0
IN,1965,1762170.0
KS,1965,709644.0
KY,1965,861120.0
LA,1965,1810100.0
MA,1965,1220575.0
MD,1965,840691.0
ME,1965,221878.0
MI,1965,2220213.0
MN,1965,845723.0
MO,1965,1019627.0
MS,1965,498462.0
MT,1965,250103.0
NC,1965,964796.0
ND,1965,167116.0
NE,1965,339976.0
NH,1965,126838.0
NJ,1965,1532604.0
NM,1965,347785.0
NV,1965,125061.0
NY,1965,3568359.0
OH,1965,3273340.0
OK,1965,759172.0
OR,1965,564303.0
PA,1965,3655092.0
RI,1965,169622.0
SC,1965,533177.0
SD,1965,136825.0
TN,1965,1073130.0
TX,1965,5130088.0
US,1965,52577565.0
UT,1965,334068.0
VA,1965,1018832.0
VT,1965,80804.0
WA,1965,946205.0
WI,1965,1003599.0
WV,1965,733287.0
WY,1965,169369.0
AK,1966,100481.0
AL,1966,1055347.0
AR,1966,553146.0
AZ,1966,390820.0
CA,1966,4525141.0
CO,1966,521816.0
CT,1966,593831.0
DC,1966,164156.0
DE,1966,188475.0
FL,1966,1138189.0
GA,1966,969858.0
HI,1966,144691.0
IA,1966,683755.0
ID,1966,234465.0
IL,1966,3115310.0
IN,1966,1882381.0
KS,1966,749649.0
KY,1966,870415.0
LA,1966,1949810.0
MA,1966,1223415.0
MD,1966,880371.0
ME,1966,233856.0
MI,1966,2371476.0
MN,1966,902125.0
MO,1966,1076732.0
MS,1966,553102.0
MT,1966,266480.0
NC,1966,1053561.0
ND,1966,178017.0
NE,1966,381090.0
NH,1966,140294.0
NJ,1966,1630216.0
NM,1966,370504.0
NV,1966,139218.0
NY,1966,3772403.0
OH,1966,3449182.0
OK,1966,729559.0
OR,1966,603370.0
PA,1966,3755282.0
RI,1966,171467.0
SC,1966,572958.0
SD,1966,143217.0
TN,1966,1169002.0
TX,1966,5473345.0
US,1966,55573431.0
UT,1966,345393.0
VA,1966,1089208.0
VT,1966,88469.0
WA,1966,1009305.0
WI,1966,1065011.0
WV,1966,752206.0
WY,1966,176810.0
AK,1967,112625.0
AL,1967,1100904.0
AR,1967,581814.0
AZ,1967,400280.0
CA,1967,4703411.0
CO,1967,543833.0
CT,1967,606150.0
DC,1967,176165.0
DE,1967,182891.0
FL,1967,1174126.0
GA,1967,1030780.0
HI,1967,163104.0
IA,1967,730492.0
ID,1967,254143.0
IL,1967,3235878.0
IN,1967,1909401.0
KS,1967,707552.0
KY,1967,916069.0
LA,1967,2207245.0
MA,1967,1298002.0
MD,1967,892165.0
ME,1967,245188.0
MI,1967,2424947.0
MN,1967,906385.0
MO,1967,1103664.0
MS,1967,564500.0
MT,1967,250987.0
NC,1967,1095373.0
ND,1967,181987.0
NE,1967,376563.0
NH,1967,144456.0
NJ,1967,1725549.0
NM,1967,401452.0
NV,1967,144122.0
NY,1967,3849083.0
OH,1967,3441912.0
OK,1967,746296.0
OR,1967,615524.0
PA,1967,3730077.0
RI,1967,189080.0
SC,1967,579648.0
SD,1967,142214.0
TN,1967,1168508.0
TX,1967,5780021.0
US,1967,57335511.0
UT,1967,339353.0
VA,1967,1105033.0
VT,1967,91481.0
WA,1967,1055494.0
WI,1967,1106590.0
WV,1967,717477.0
WY,1967,200843.0
AK,1968,119992.0
AL,1968,1208038.0
AR,1968,620382.0
AZ,1968,442172.0
CA,1968,4979463.0
CO,1968,611043.0
CT,1968,630827.0
DC,1968,175877.0
DE,1968,201693.0
FL,1968,1297961.0
GA,1968,1120406.0
HI,1968,182141.0
IA,1968,764778.0
ID,1968,274456.0
IL,1968,3371320.0
IN,1968,2000493.0
KS,1968,778395.0
KY,1968,975596.0
LA,1968,2390970.0
MA,1968,1345380.0
MD,1968,945236.0
ME,1968,259100.0
MI,1968,2561233.0
MN,1968,967720.0
MO,1968,1182279.0
MS,1968,629570.0
MT,1968,270828.0
NC,1968,1167204.0
ND,1968,188870.0
NE,1968,413164.0
NH,1968,154293.0
NJ,1968,1798696.0
NM,1968,430120.0
NV,1968,157238.0
NY,1968,3949912.0
OH,1968,3609850.0
OK,1968,826054.0
OR,1968,661493.0
PA,1968,3873388.0
RI,1968,193507.0
SC,1968,630476.0
SD,1968,149953.0
TN,1968,1222239.0
TX,1968,6168197.0
US,1968,60820699.0
UT,1968,359857.0
VA,1968,1164157.0
VT,1968,97423.0
WA,1968,1154184.0
WI,1968,1153728.0
