time,pred_tavg,cluster_id,cluster_lat,cluster_lon,month,irradiance
2026-01-01,0.102388375,0,41.15451,-88.288734,1,1.7021
2026-02-01,6.0949187,0,41.15451,-88.288734,2,2.5774
2026-03-01,11.357866,0,41.15451,-88.288734,3,3.5962
2026-04-01,16.412107,0,41.15451,-88.288734,4,4.7482
2026-05-01,20.817207,0,41.15451,-88.288734,5,5.4576
2026-06-01,22.821024,0,41.15451,-88.288734,6,6.1418
2026-07-01,21.77516,0,41.15451,-88.288734,7,6.2198
2026-08-01,17.900076,0,41.15451,-88.288734,8,5.4211
2026-09-01,11.565428,0,41.15451,-88.288734,9,4.4861
2026-10-01,4.626874,0,41.15451,-88.288734,10,2.983
2026-11-01,-0.638078,0,41.15451,-88.288734,11,1.9752
2026-12-01,-3.5069935,0,41.15451,-88.288734,12,1.4611
2027-01-01,-1.7202902,0,41.15451,-88.288734,1,1.7021
2027-02-01,4.203219,0,41.15451,-88.288734,2,2.5774
2027-03-01,10.338786,0,41.15451,-88.288734,3,3.5962
2027-04-01,15.760142,0,41.15451,-88.288734,4,4.7482
2027-05-01,20.313454,0,41.15451,-88.288734,5,5.4576
2027-06-01,22.323713,0,41.15451,-88.288734,6,6.1418
2027-07-01,21.269775,0,41.15451,-88.288734,7,6.2198
2027-08-01,17.33158,0,41.15451,-88.288734,8,5.4211
2027-09-01,10.662706,0,41.15451,-88.288734,9,4.4861
2027-10-01,3.5553129,0,41.15451,-88.288734,10,2.983
2027-11-01,-1.8839995,0,41.15451,-88.288734,11,1.9752
2027-12-01,-4.631575,0,41.15451,-88.288734,12,1.4611
2028-01-01,-3.2053936,0,41.15451,-88.288734,1,1.7021
2028-02-01,2.829024,0,41.15451,-88.288734,2,2.5774
2028-03-01,9.735304,0,41.15451,-88.288734,3,3.5962
2028-04-01,15.408821,0,41.15451,-88.288734,4,4.7482
2028-05-01,20.090715,0,41.15451,-88.288734,5,5.4576
2028-06-01,22.201147,0,41.15451,-88.288734,6,6.1418
2028-07-01,21.208973,0,41.15451,-88.288734,7,6.2198
2028-08-01,17.249025,0,41.15451,-88.288734,8,5.4211
2028-09-01,10.533701,0,41.15451,-88.288734,9,4.4861
2028-10-01,3.3725555,0,41.15451,-88.288734,10,2.983
2028-11-01,-2.1263714,0,41.15451,-88.288734,11,1.9752
2028-12-01,-4.8852596,0,41.15451,-88.288734,12,1.4611
2029-01-01,-3.4277759,0,41.15451,-88.288734,1,1.7021
2029-02-01,2.5594943,0,41.15451,-88.288734,2,2.5774
2029-03-01,9.605341,0,41.15451,-88.288734,3,3.5962
2029-04-01,15.329307,0,41.15451,-88.288734,4,4.7482
2029-05-01,20.04723,0,41.15451,-88.288734,5,5.4576
2029-06-01,22.177282,0,41.15451,-88.288734,6,6.1418
2029-07-01,21.183355,0,41.15451,-88.288734,7,6.2198
2029-08-01,17.220036,0,41.15451,-88.288734,8,5.4211
2029-09-01,10.50068,0,41.15451,-88.288734,9,4.4861
2029-10-01,3.3452,0,41.15451,-88.288734,10,2.983
2029-11-01,-2.1472042,0,41.15451,-88.288734,11,1.9752
2029-12-01,-4.9000964,0,41.15451,-88.288734,12,1.4611
2030-01-01,-3.4420247,0,41.15451,-88.288734,1,1.7021
2030-02-01,2.5373669,0,41.15451,-88.288734,2,2.5774
2030-03-01,9.591433,0,41.15451,-88.288734,3,3.5962
2030-04-01,15.320395,0,41.15451,-88.288734,4,4.7482
2030-05-01,20.042414,0,41.15451,-88.288734,5,5.4576
2030-06-01,22.174599,0,41.15451,-88.288734,6,6.1418
2030-07-01,21.179806,0,41.15451,-88.288734,7,6.2198
2030-08-01,17.21634,0,41.15451,-88.288734,8,5.4211
2030-09-01,10.497928,0,41.15451,-88.288734,9,4.4861
2030-10-01,3.345093,0,41.15451,-88.288734,10,2.983
2030-11-01,-2.1452618,0,41.15451,-88.288734,11,1.9752
2030-12-01,-4.8970876,0,41.15451,-88.288734,12,1.4611
2031-01-01,-3.4390702,0,41.15451,-88.288734,1,1.7021
2031-02-01,2.5406826,0,41.15451,-88.288734,2,2.5774
2031-03-01,9.59258,0,41.15451,-88.288734,3,3.5962
2031-04-01,15.32128,0,41.15451,-88.288734,4,4.7482
2031-05-01,20.04321,0,41.15451,-88.288734,5,5.4576
2031-06-01,22.175299,0,41.15451,-88.288734,6,6.1418
2031-07-01,21.180235,0,41.15451,-88.288734,7,6.2198
2031-08-01,17.216732,0,41.15451,-88.288734,8,5.4211
2031-09-01,10.498687,0,41.15451,-88.288734,9,4.4861
2031-10-01,3.3461866,0,41.15451,-88.288734,10,2.983
2031-11-01,-2.1439645,0,41.15451,-88.288734,11,1.9752
2031-12-01,-4.895722,0,41.15451,-88.288734,12,1.4611
2032-01-01,-3.4376087,0,41.15451,-88.288734,1,1.7021
2032-02-01,2.5424912,0,41.15451,-88.288734,2,2.5774
2032-03-01,9.593457,0,41.15451,-88.288734,3,3.5962
2032-04-01,15.321887,0,41.15451,-88.288734,4,4.7482
2032-05-01,20.04364,0,41.15451,-88.288734,5,5.4576
2032-06-01,22.175617,0,41.15451,-88.288734,6,6.1418
2032-07-01,21.180508,0,41.15451,-88.288734,7,6.2198
2032-08-01,17.217012,0,41.15451,-88.288734,8,5.4211
2032-09-01,10.499058,0,41.15451,-88.288734,9,4.4861
2032-10-01,3.3465762,0,41.15451,-88.288734,10,2.983
2032-11-01,-2.1435878,0,41.15451,-88.288734,11,1.9752
2032-12-01,-4.8953776,0,41.15451,-88.288734,12,1.4611
2033-01-01,-3.437256,0,41.15451,-88.288734,1,1.7021
2033-02-01,2.542915,0,41.15451,-88.288734,2,2.5774
2033-03-01,9.593672,0,41.15451,-88.288734,3,3.5962
2033-04-01,15.322028,0,41.15451,-88.288734,4,4.7482
2033-05-01,20.043734,0,41.15451,-88.288734,5,5.4576
2033-06-01,22.17568,0,41.15451,-88.288734,6,6.1418
2033-07-01,21.180573,0,41.15451,-88.288734,7,6.2198
2033-08-01,17.217083,0,41.15451,-88.288734,8,5.4211
2033-09-01,10.499143,0,41.15451,-88.288734,9,4.4861
2033-10-01,3.3466578,0,41.15451,-88.288734,10,2.983
2033-11-01,-2.1435165,0,41.15451,-88.288734,11,1.9752
2033-12-01,-4.8953204,0,41.15451,-88.288734,12,1.4611
2034-01-01,-3.4372027,0,41.15451,-88.288734,1,1.7021
2034-02-01,2.542977,0,41.15451,-88.288734,2,2.5774
2034-03-01,9.593706,0,41.15451,-88.288734,3,3.5962
2034-04-01,15.32205,0,41.15451,-88.288734,4,4.7482
2034-05-01,20.043743,0,41.15451,-88.288734,5,5.4576
2034-06-01,22.175686,0,41.15451,-88.288734,6,6.1418
2034-07-01,21.180582,0,41.15451,-88.288734,7,6.2198
2034-08-01,17.217093,0,41.15451,-88.288734,8,5.4211
2034-09-01,10.499156,0,41.15451,-88.288734,9,4.4861
2034-10-01,3.3466694,0,41.15451,-88.288734,10,2.983
2034-11-01,-2.1435091,0,41.15451,-88.288734,11,1.9752
2034-12-01,-4.8953156,0,41.15451,-88.288734,12,1.4611
2035-01-01,-3.4371972,0,41.15451,-88.288734,1,1.7021
2035-02-01,2.5429814,0,41.15451,-88.288734,2,2.5774
2035-03-01,9.593706,0,41.15451,-88.288734,3,3.5962
2035-04-01,15.32205,0,41.15451,-88.288734,4,4.7482
2035-05-01,20.043743,0,41.15451,-88.288734,5,5.4576
2035-06-01,22.175688,0,41.15451,-88.288734,6,6.1418
2035-07-01,21.180582,0,41.15451,-88.288734,7,6.2198
2035-08-01,17.21709,0,41.15451,-88.288734,8,5.4211
2035-09-01,10.499156,0,41.15451,-88.288734,9,4.4861
2035-10-01,3.3466682,0,41.15451,-88.288734,10,2.983
2035-11-01,-2.1435096,0,41.15451,-88.288734,11,1.9752
2035-12-01,-4.8953166,0,41.15451,-88.288734,12,1.4611
2026-01-01,1.4756817,1,40.769405,-113.88882,1,2.1326
2026-02-01,5.9549713,1,40.769405,-113.88882,2,3.1594
2026-03-01,9.464004,1,40.769405,-113.88882,3,4.4513
2026-04-01,13.785299,1,40.769405,-113.88882,4,5.7096
2026-05-01,19.624168,1,40.769405,-113.88882,5,6.5119
2026-06-01,22.515928,1,40.769405,-113.88882,6,7.3553
2026-07-01,21.485935,1,40.769405,-113.88882,7,7.0075
2026-08-01,17.102486,1,40.769405,-113.88882,8,6.3802
2026-09-01,10.43829,1,40.769405,-113.88882,9,5.2121
2026-10-01,3.0256479,1,40.769405,-113.88882,10,3.7493
2026-11-01,-2.4790456,1,40.769405,-113.88882,11,2.4869
2026-12-01,-3.453191,1,40.769405,-113.88882,12,1.8305
2027-01-01,-0.8591552,1,40.769405,-113.88882,1,2.1326
2027-02-01,4.000272,1,40.769405,-113.88882,2,3.1594
2027-03-01,7.549382,1,40.769405,-113.88882,3,4.4513
2027-04-01,12.417852,1,40.769405,-113.88882,4,5.7096
2027-05-01,18.40003,1,40.769405,-113.88882,5,6.5119
2027-06-01,21.788157,1,40.769405,-113.88882,6,7.3553
2027-07-01,20.734068,1,40.769405,-113.88882,7,7.0075
2027-08-01,16.209557,1,40.769405,-113.88882,8,6.3802
2027-09-01,9.058035,1,40.769405,-113.88882,9,5.2121
2027-10-01,1.1677551,1,40.769405,-113.88882,10,3.7493
2027-11-01,-4.4106693,1,40.769405,-113.88882,11,2.4869
2027-12-01,-4.4256797,1,40.769405,-113.88882,12,1.8305
2028-01-01,-2.539301,1,40.769405,-113.88882,1,2.1326
2028-02-01,2.1392698,1,40.769405,-113.88882,2,3.1594
2028-03-01,6.286539,1,40.769405,-113.88882,3,4.4513
2028-04-01,11.379874,1,40.769405,-113.88882,4,5.7096
2028-05-01,17.608356,1,40.769405,-113.88882,5,6.5119
2028-06-01,21.426886,1,40.769405,-113.88882,6,7.3553
2028-07-01,20.464075,1,40.769405,-113.88882,7,7.0075
2028-08-01,15.917836,1,40.769405,-113.88882,8,6.3802
